Aufgabe 1.1
t, Spannung in V, Eregnisse N
30s 
30, 50, 0
30, 125, 0
30, 191, 0
30, 260, 0
120, 330, 830
120, 360, 937
120, 390, 924
120, 421, 947
120, 449, 940
120, 481, 998
120, 509, 962
120, 535, 1005


Aufgabe 1.3
je 3min, beide Quellen
18088
Quelle Links N1
10042
Quelle rechts N2
7988
Aufgabe 1.4
t = 5s
d in cm, N 
0.5, 403
1 , 281
1.5, 149
2, 136
2.5, 120
3, 95
3.5, 85
4.0, 46 
4.5, 52
5.0, 41
5.5, 40
6.0, 32
6.5, 24
7.0, 36
7.5, 16
8.0, 25
8.5, 14
9.0, 22 
9.5, 24
10 , 21

Aufgabe 2
Alpha auch 200s
Gamma 11.53 dichte
200 s
Pb Dicke in mm, N
1, 1665 
2, 1547
5, 1393
10, 
