Zeit,Kanal A,Kanal B
(s),(V),(V)

2.74804006,0.17517620,0.00000000
2.74937406,0.17517620,0.00000000
2.75070806,0.17517620,0.00000000
2.75204206,0.17517620,0.00000000
2.75337606,0.17517620,0.00000000
2.75471006,0.17517620,0.00000000
2.75604406,0.17517620,0.00000000
2.75737806,0.17517620,0.00000000
2.75871206,0.17517620,0.00000000
2.76004606,0.17517620,0.00000000
2.76138006,0.17517620,0.00000000
2.76271406,0.17517620,0.00000000
2.76404806,0.17517620,0.00000000
2.76538206,0.17517620,0.00000000
2.76671606,0.17517620,0.00000000
2.76805006,0.17517620,0.00000000
2.76938406,0.17517620,0.00000000
2.77071806,0.17517620,0.00000000
2.77205206,0.17517620,0.00000000
2.77338606,0.17517620,0.00000000
2.77472006,0.17517620,0.00000000
2.77605406,0.17517620,0.00000000
2.77738806,0.17517620,0.00000000
2.77872206,0.17517620,0.00000000
2.78005606,0.17517620,0.00000000
2.78139006,0.17517620,0.00000000
2.78272406,0.17517620,0.00000000
2.78405806,0.17517620,0.00000000
2.78539206,0.17517620,0.00000000
2.78672606,0.17517620,0.00000000
2.78806006,0.17517620,0.00000000
2.78939406,0.17517620,0.00000000
2.79072806,0.17517620,0.00000000
2.79206206,0.17517620,0.00000000
2.79339606,0.17517620,0.00000000
2.79473006,0.17517620,0.00000000
2.79606406,0.17517620,0.00000000
2.79739806,0.17517620,0.00000000
2.79873206,0.17517620,0.00000000
2.80006606,0.17517620,0.00000000
2.80140006,0.17517620,0.00000000
2.80273406,0.17517620,0.00000000
2.80406806,0.17517620,0.00000000
2.80540206,0.17517620,0.00000000
2.80673606,0.17517620,0.00000000
2.80807006,0.17517620,0.00000000
2.80940406,0.17517620,0.00000000
2.81073806,0.17517620,0.00000000
2.81207206,0.17517620,0.00000000
2.81340606,0.17517620,0.00000000
2.81474006,0.17517620,0.00000000
2.81607406,0.17517620,0.00000000
2.81740806,0.17517620,0.00000000
2.81874206,0.17517620,0.00000000
2.82007606,0.17517620,0.00000000
2.82141006,0.17517620,0.00000000
2.82274406,0.17517620,0.00000000
2.82407806,0.17517620,0.00000000
2.82541207,0.17517620,0.00000000
2.82674607,0.17517620,0.00000000
2.82808007,0.17517620,0.00000000
2.82941407,0.17517620,0.00000000
2.83074807,0.17517620,0.00000000
2.83208207,0.17517620,0.00000000
2.83341607,0.17517620,0.00000000
2.83475007,0.17517620,0.00000000
2.83608407,0.17517620,0.00000000
2.83741807,0.17517620,0.00000000
2.83875207,0.17517620,0.00000000
2.84008607,0.17517620,0.00000000
2.84142007,0.17517620,0.00000000
2.84275407,0.17517620,0.05340739
2.84408807,0.17517620,0.17700730
2.84542207,0.17517620,0.30060730
2.84675607,0.17517620,0.42268130
2.84809007,0.17517620,0.54628130
2.84942407,0.17517620,0.66988120
2.85075807,0.17517620,0.79195530
2.85209207,0.17517620,0.91708120
2.85342607,0.17517620,0.91708120
2.85476007,0.17517620,0.91708120
2.85609407,0.17517620,0.91708120
2.85742807,0.17517620,0.91708120
2.85876207,0.17517620,0.91708120
2.86009607,0.17517620,0.91708120
2.86143007,0.17517620,0.91708120
