Zeit,Kanal A,Kanal B
(s),(V),(V)

2.44388806,0.17517620,0.53865170
2.44522206,0.17517620,0.54170360
2.44655606,0.17517620,0.54628130
2.44789006,0.17517620,0.54933320
2.44922406,0.17517620,0.55238500
2.45055806,0.17517620,0.55543680
2.45189206,0.17517620,0.56001470
2.45322606,0.17517620,0.56306650
2.45456006,0.17517620,0.56611840
2.45589406,0.17517620,0.57222210
2.45722806,0.17517620,0.57527390
2.45856206,0.17517620,0.58137760
2.45989606,0.17517620,0.58442940
2.46123006,0.17517620,0.58748130
2.46256406,0.17517620,0.59053310
2.46389806,0.17517620,0.59511100
2.46523206,0.17517620,0.59816280
2.46656606,0.17517620,0.60121460
2.46790006,0.17517620,0.60579240
2.46923406,0.17517620,0.60884430
2.47056806,0.17517620,0.61342200
2.47190206,0.17517620,0.61799980
2.47323606,0.17517620,0.62257760
2.47457006,0.17517620,0.62868130
2.47590406,0.17517620,0.63325910
2.47723806,0.17517620,0.63631090
2.47857206,0.17517620,0.64088880
2.47990606,0.17517620,0.64394060
2.48124006,0.17517620,0.64699240
2.48257406,0.17517620,0.65309610
2.48390806,0.17517620,0.65767380
2.48524206,0.17517620,0.66377760
2.48657606,0.17517620,0.66835530
2.48791006,0.17517620,0.67445900
2.48924406,0.17517620,0.67903690
2.49057806,0.17517620,0.68208870
2.49191206,0.17517620,0.68819240
2.49324606,0.17517620,0.69277020
2.49458006,0.17517620,0.69887390
2.49591406,0.17517620,0.70345160
2.49724806,0.17517620,0.70650350
2.49858206,0.17517620,0.71260720
2.49991606,0.17517620,0.71413310
2.50125006,0.17517620,0.71871090
2.50258406,0.17517620,0.72481460
2.50391806,0.17517620,0.72786640
2.50525206,0.17517620,0.73397020
2.50658606,0.17517620,0.73854800
2.50792006,0.17517620,0.74159980
2.50925406,0.17517620,0.74617760
2.51058806,0.17517620,0.74922940
2.51192206,0.17517620,0.75075540
2.51325606,0.17517620,0.75380720
2.51459006,0.17517620,0.75991090
2.51592406,0.17517620,0.76296280
2.51725806,0.17517620,0.76906650
2.51859206,0.17517620,0.77364420
2.51992606,0.17517620,0.77669610
2.52126006,0.17517620,0.78279980
2.52259406,0.17517620,0.78737760
2.52392806,0.17517620,0.79195530
2.52526206,0.17517620,0.79653310
2.52659606,0.17517620,0.79958500
2.52793006,0.17517620,0.80568860
2.52926406,0.17517620,0.80874050
2.53059806,0.17761770,0.81484430
2.53193206,0.17761770,0.81637010
2.53326606,0.17761770,0.81942200
2.53460006,0.17761770,0.82247380
2.53593406,0.17761770,0.82857750
2.53726806,0.17761770,0.83162940
2.53860206,0.17761770,0.83468130
2.53993606,0.18066960,0.83925900
2.54127006,0.18066960,0.84231080
2.54260406,0.18066960,0.84536270
2.54393806,0.18066960,0.84841460
2.54527206,0.18066960,0.85451830
2.54660606,0.18066960,0.85757010
2.54794006,0.18066960,0.86214790
2.54927406,0.18066960,0.86672570
2.55060806,0.18066960,0.86977750
2.55194206,0.18066960,0.87435530
2.55327606,0.18066960,0.87740710
2.55461006,0.18066960,0.88045900
2.55594406,0.18066960,0.88351080
2.55727806,0.18066960,0.88961450
