Umgebungsdruck 996mbar
Aufgabe 1
0°C, 4.05 rechts, 8.05 links, delta 4
Sidetemp, 29.15 rechts, 8.05 links, delta 21.1


Aufgabe 2
in cm
Null 19.1: rechts, links
richtig:
aufpumpen: 10.4, 27.7
am Ende: 17.0, 21.2
langsam entweichend:
12.0,26.2
17.6,20.7
nicht ganz leer:
9.7,28.4
14.65,23.65


Aufgabe 3
5 Perioden, T in s
5.69
5.68
5.62
5.55
5.34


Aufgabe 4
links, rechts
Raumtemp 25.4°C
36.15,21.93

grad, links
22.5,35.465
19.6,34.7
16.2,33.81
13.1,33.1
10.3,32.5
7.0,31.94
4.3,31.57
2.0,31.405
0.1,31.125
3.3,31.48
6.1,31.84
8.9,32.245
11.7,32.72
15.5,33.47
17.6,33.975
20.4,34.77
22.7,35.365
