Newtonsche Ringe, Krümmungsradius
Mittelpunkt bei 10.0 mm
gelbe LED
n, r links in mm, r rechts in mm
1, 10.4, 9.4
2, 10.7, 9.2
3, 11.0, 9.0
4, 11.1, 8.9
5, 11.3, 8.7
6, 11.6, 8.6
7, 11.7, 8.4
8, 11.7, 8.2

blaue LED
n, r links in mm, r rechts in mm
1, 10.5, 9.5
2, 10.7, 9.2
3, 10.9, 9.2
4, 11.0, 9.1
5, 11.1, 9.0

Brechungsindex Wasser
gelbe LED
n, r links in mm, r rechts in mm
1, 11.5, 10.7
2, 11.9, 10.3
3, 12.0, 10.2
4, 12.1, 10.1
5, 12.3, 10.0

Brennweite
schirm 130 - linse 29.3 cm

Gitter (600)
negativer Bereich
n, grad, minuten
1, 339, 10
2, 314, 8

postiver Bereich
1, 20, 45
2, 44, 47

Aufgabe 2.3
45, 20
45, 23

20, 55
20, 54

339, 13
339, 10

314, 40
314, 45

2.4 (Gitter 140)
negativer Bereich
1, 354, 30
2, 348, 55
3, 343, 14
(4, 337, 27)

positiver Bereich
1, 5, 30
2, 11, 8
3, 16, 47
(4,)

2.5, Zn-Lampe, bl1, bl2, gr, rot
n, grad, minute
negativer Bereich
-1, 355, 40
-1, 355, 38
-1, 355, 30
-1, 354, 5
-2, 351, 17
-2, 351, 12
-2, 351, 0
-2, 348, 2

positiver Bereich
1, 4, 26
1, 4, 28
1, 4, 31
1, 6, 0
2, 8, 45
2, 8, 50
2, 9, 0
2, 12, 5
