Aufgabe 2
Zeit,messen alle 5s T1, T2 in mbar
0,1000,1000
5,1000,1000
10,1000,1000
15,1000,1000
20,860,1000
25,620,1000
30,450,1000
35,330,1000
40,250,1000
45,200,1000
50,140,1000
55,120,1000
60,100,1000
65,89,1000
70,82,1000
75,75,950
80,65,800
85,53,640
90,47,530
95,43,420
100,38,370
105,33,315
110,30,277
115,27,249
120,24.8,222
130,19,181
140,15.2,154
150,12.6,131
160,10.9,116
170,9,102
180,7.8,90.3
190,6.75,80.1
200,5.8,73.7
210,5,67.8
220,4.5,62.1
230,3.97,56.8
240,3.54,52.3
250,3.16,49
260,2.8,46.3
270,2.55,43.8
280,2.32,41.3
290,2.13,39.4
300,1.95,37.2
310,1.81,35.4
320,1.68,33.6
330,1.56,31.9
340,1.45,30.6
350,1.37,29.5
360,1.28,28.6
370,1.20,27.6
380,1.12,26.6
390,1.06,25.7
400,0.997,24.8
410,0.921,24
420,0.888,23.2
